kode,name,nomor
ABA,Agrabinta,149
ABN,Ambon,325
ADG,Andeng,368
AJI,Arjasari,260
AKA,Ahuaolano-Konda,399
ALR,Alor,187
ASN,Abung Selatan,262
BAH,Banda Aceh,163
BAU,Bau-bau,171
BBS,Brebes,197
BBU,Bangun Baru,192
BDA,Budijaya,184
BDK,Bandung Kulon,2
BDN,Bendungan,317
BDR,Bah Damar,307
BGA,Bangka,156
BGI,Brastagi,146
BHI,Bakauheni,209
BJA,Bunijaya,57
BJG,Bojong,84
BJN,Banjaran,90
BJR,Batujajar,
BKA,Bulukumba,211
BKH,Bunikasih,284
BKI,Bekasi,183
BKL,Bandung Kidul,397
BKU,Bengkulu,152
BKY,Bengkayang,324
BLA,Balaigana,337
BLG,Belitung,343
BLH,Batu Langkah,364
BLN,Belawan,319
BLT,Bolangitang,347
BMA,Burnai Mulya,185
BMN,Banjarmasin,127
BNA,Banjarnegara,25
BNG,Bontang,153
BNL,Bangil,391
BNO,Benowo,367
BNR,Banjar,63
BOG,Bogor,3
BPE,Buntu Pane,205
BPG,Bojongpicung,178
BPN,Balikpapan,154
BRS,Baros,129
BRU,Pulau Buru,182
BSA,Bojongsirna,251
BSH,Simpang Kanan,236
BSI,Banjarsari,61
BSR,Batusangkar,50
BTG,Batang,99
BTH,Bandung Tengah,277
BTI,Bukit Tinggi,78
BTM,Batam,226
BTR,Baturaja,33
BTU,Bulaktemu,295
BWN,Bandung Wetan,278
BYL,Bayung Lincir,334
BYN,Sambi Elen,219
CBG,Cibalong,239
CBK,Cibadak,263
CBM,Cibeureum,332
CBU,Cibatu,115
CCA,Cicakra,130
CDN,Cidaun,
CGD,Cigedug,394
CGS,Cimaragas,195
CGT,Cigintung,357
CHG,Ciherang,87
CKG,Cikedung,246
CKK,Cikalong Kulon,12
CKR,Cikembar,265
CLA,Cicalengka,280
CLD,Cisalada,18
CLG,Cileungsi,300
CLN,Cilegon,44
CLP,Cilacap,356
CLS,Cilimus,116
CLU,Ciledug,60
CMG,Cimayang,92
CMI,Cimahi,42
CMS,Ciamis,40
CNG,Cibinong,267
CNM,Ciandam,8
CNR,Cianjur,7
CPK,Cikampek,276
CPY,Ciparay,15
CRB,Cirebon,14
CRP,Curup,56
CSA,Cisarua,113
CSH,Cisereh,229
CST,Cisaat,264
CSU,Cisitu,364
CTB,Citalahab,66
CTG,Cibitung Wetan,46
CTH,Citeguh,105
